Frame,Vehicle_ID,Plate_Text,Confidence
3,-,HA13NRU,0.919
3,-,HA13NRU,0.919
3,-,HA13NRU,0.919
22,-,NA13NRU,0.936
25,-,NA13NRU,0.927
27,-,NNNC1AN,0.619
3,-,HA13NRU,0.919
22,-,NA13NRU,0.936
25,-,NA13NRU,0.927
27,-,NNNC1AN,0.619
96,-,CX1S0CJ,0.865
104,-,CX1S0C,0.893
107,-,CX1S0C,0.964
109,-,CX1S0C,0.868
110,-,CX1S0G,0.894
113,-,CX1S0C,0.952
119,-,CX150C,0.918
123,-,X1S0CJ,0.94
127,-,CX1S0C,0.945
131,-,CX1S0C,0.968
136,-,CX1S0G,0.847
142,-,AP0SJEQ,0.892
160,-,03RS0D0,0.496
160,-,KH0SZ1K,0.552
161,-,AP05JE0,0.766
163,-,AP0SJE0,0.851
170,-,Y12S0A,0.62
